Audio File,Item,Weight,Radius,Height,Moment of inertia,On:,Peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapewood1.m4a,Tape ,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Wood bench,0.023,0.269,0.561,0.763,0.966,1.18,1.371,1.573,1.76,1.943,2.122,2.29,2.446,2.597,2.745,2.886,3.006,3.135,3.263,3.376,3.481,3.593,3.649,3.726,3.802,3.871,3.933,3.99,4.024,,,,,,,,,,,,,,,
tapewood2.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Wood bench,0.129,0.343,0.565,0.794,1.024,1.219,1.414,1.6,1.768,1.951,2.13,2.321,2.473,2.59,2.687,2.757,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapewood3.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Wood bench,0.194,0.415,0.632,0.833,1.046,1.248,1.431,1.617,1.789,1.956,2.12,2.279,2.428,2.576,2.713,2.854,2.972,3.082,3.197,3.303,3.402,3.501,3.585,3.661,3.745,3.813,3.866,3.923,3.973,,,,,,,,,,,,,,,
tapemetal1.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Metal Table,0.05,0.27,0.5,0.689,0.871,1.058,1.234,1.407,1.563,1.711,1.848,1.977,2.103,2.222,2.335,2.448,2.549,2.646,2.729,2.806,2.875,2.943,3.004,3.054,3.1,3.145,3.202,,,,,,,,,,,,,,,,,
tapemetal2.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Metal Table,0.057,0.294,0.537,0.743,0.932,1.151,1.337,1.513,1.692,1.857,2.012,2.161,2.303,2.438,2.583,2.728,2.836,2.958,3.056,3.164,3.268,3.36,3.444,3.53,3.604,3.679,3.746,3.8,3.849,3.893,3.937,,,,,,,,,,,,,
tapemetal3.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Metal Table,0.08,0.296,0.557,0.752,0.96,1.204,1.406,1.613,1.804,1.993,2.168,2.336,2.493,2.669,2.832,2.988,3.134,3.265,3.393,3.512,3.631,3.748,3.869,3.978,4.087,4.186,4.272,4.352,4.432,4.502,4.57,4.634,4.692,4.738,4.792,,,,,,,,,
tapecounter.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Fake Marble Countertop,0.132,0.375,0.592,0.8,1.007,1.209,1.4,1.59,1.77,1.937,2.089,2.246,2.392,2.528,2.692,2.827,2.941,3.041,3.139,3.226,3.297,3.366,3.416,,,,,,,,,,,,,,,,,,,,,
tapeglass1.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Glass stovetop,0.271,0.43,0.602,0.807,1.024,1.206,1.37,1.556,1.721,1.893,2.06,2.23,2.408,2.576,2.733,2.884,3.033,3.178,3.316,3.471,3.606,3.744,3.864,3.976,4.09,4.193,4.301,4.415,4.518,4.615,4.698,4.779,4.862,4.926,4.996,5.056,5.108,5.168,5.204,5.26,5.29,5.327,5.356,5.394
tapeglass2.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Glass stovetop,0.028,0.236,0.444,0.629,0.821,1.029,1.231,1.412,1.609,1.79,1.975,2.16,2.338,2.503,2.677,2.84,3.009,3.156,3.307,3.454,3.592,3.738,3.863,3.996,4.122,4.244,4.356,4.463,4.575,4.679,4.773,4.871,4.954,5.037,5.103,5.176,5.238,5.297,5.349,5.4,5.442,5.479,,
tapeglass3.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Glass stovetop,0.029,0.259,0.453,0.649,0.837,1.024,1.203,1.385,1.555,1.723,1.889,2.045,2.201,2.366,2.514,2.658,2.8,2.943,3.07,3.202,3.313,3.435,3.55,3.665,3.763,3.862,3.955,4.048,4.122,4.201,4.283,4.357,4.417,4.478,4.528,4.578,4.616,4.654,4.703,,,,,
